reference_variant,reference_width,reference_height,processing_width,processing_height,source_frame_index,pts_value,pts_timescale,duration_value,duration_timescale,roi_x0,roi_y0,roi_x1,roi_y1,original_mean_nits,identity_mean_nits,enhanced_mean_nits,enhanced_minus_original_mean_nits,identity_minus_original_mean_nits
full,1920,1080,320,192,1498,1740499,24000,1001,24000,40,80,360,720,48.95709284482804,48.957092685722507,49.513676419340619,0.55658357451257956,-1.5910553230469304e-07
full,1920,1080,320,192,1499,1741500,24000,1001,24000,40,80,360,720,49.176463417276189,49.176463254112953,49.460292541980643,0.28382912470445376,-1.631632358112256e-07
full,1920,1080,320,192,1500,1742501,24000,1001,24000,40,80,360,720,49.329529951381843,49.329529820072331,49.252966045235844,-0.076563906145999283,-1.3130951259654466e-07
full,1920,1080,320,192,1501,1743502,24000,1001,24000,40,80,360,720,49.315029308478096,49.315029172682245,49.374756313492114,0.059727005014018175,-1.3579585100842451e-07
full,1920,1080,320,192,1502,1744503,24000,1001,24000,40,80,360,720,49.05151687455951,49.05151679809066,49.726659580510123,0.67514270595061276,-7.646885080703214e-08
full,1920,1080,320,192,1503,1745504,24000,1001,24000,40,80,360,720,48.861991388848971,48.86199131473699,48.748749928004855,-0.11324146084411524,-7.4111980552515888e-08
full,1920,1080,320,192,1504,1746505,24000,1001,24000,40,80,360,720,48.981666787117291,48.981666679241343,49.997890551878982,1.0162237647616905,-1.0787594817429635e-07
full,1920,1080,320,192,1505,1747506,24000,1001,24000,40,80,360,720,49.125692623795032,49.12569252039544,50.488842255450173,1.3631496316551406,-1.0339959288785394e-07
full,1920,1080,320,192,1506,1748507,24000,1001,24000,40,80,360,720,48.944840397411852,48.944840296968742,49.518019808264469,0.57317941085261737,-1.0044310982948446e-07
full,1920,1080,320,192,1507,1749508,24000,1001,24000,40,80,360,720,48.770249150703819,48.770249069195067,49.939742889857506,1.1694937391536868,-8.1508751748060604e-08
full,1920,1080,320,192,1508,1750509,24000,1001,24000,40,80,360,720,48.830645037463654,48.830644950640256,49.553018560057225,0.72237352259357124,-8.6823398248725425e-08
full,1920,1080,320,192,1509,1751510,24000,1001,24000,40,80,360,720,48.892769691245448,48.892769601872317,49.704487637242167,0.81171794599671898,-8.9373131118009042e-08
full,1920,1080,320,192,1510,1752511,24000,1001,24000,40,80,360,720,48.938448442613954,48.938448358153344,49.588139686031035,0.64969124341708095,-8.4460609173220291e-08
full,1920,1080,320,192,1511,1753512,24000,1001,24000,40,80,360,720,48.947360245466207,48.947360154025148,49.53050590098097,0.5831456555147625,-9.1441059169028449e-08
full,1920,1080,320,192,1512,1754513,24000,1001,24000,40,80,360,720,48.891553665372868,48.89155357398247,49.498564615650523,0.60701095027765462,-9.1390397471968754e-08
full,1920,1080,320,192,1513,1755514,24000,1001,24000,40,80,360,720,48.794185949446394,48.794185849364965,48.497652855912037,-0.29653309353435731,-1.0008142936612785e-07
full,1920,1080,320,192,1514,1756515,24000,1001,24000,40,80,360,720,48.893973558890558,48.893973457924012,49.280759534440406,0.38678597554984862,-1.0096654534663685e-07
full,1920,1080,320,192,1515,1757516,24000,1001,24000,40,80,360,720,48.89634564713608,48.896345545888153,50.137982774121227,1.2416371269851467,-1.0124792737542521e-07
full,1920,1080,320,192,1516,1758517,24000,1001,24000,40,80,360,720,48.868013780456849,48.86801369357778,50.115465958616603,1.2474521781597545,-8.6879069272072229e-08
full,1920,1080,320,192,1517,1759518,24000,1001,24000,40,80,360,720,48.877933457663055,48.877933373901406,50.174725245420852,1.2967917877577975,-8.3761648284053081e-08
full,1920,1080,320,192,1518,1760519,24000,1001,24000,40,80,360,720,48.965121377802681,48.965121284213701,50.978675435803154,2.0135540580004729,-9.3588980121239729e-08
full,1920,1080,320,192,1519,1761520,24000,1001,24000,40,80,360,720,49.013280967810317,49.013280870002738,50.622602533654238,1.6093215658439206,-9.7807578924857808e-08
full,1920,1080,320,192,1520,1762521,24000,1001,24000,40,80,360,720,49.003109384179496,49.003109293342341,50.276332833250642,1.2732234490711463,-9.0837154687051225e-08
full,1920,1080,320,192,1521,1763522,24000,1001,24000,40,80,360,720,48.999305824508092,48.999305728527581,50.396974642677485,1.397668818169393,-9.5980510650406359e-08
full,1920,1080,320,192,1522,1764523,24000,1001,24000,40,80,360,720,48.989570506991186,48.989570409810518,50.690481717712167,1.7009112107209816,-9.7180667069096671e-08
full,1920,1080,320,192,1523,1765524,24000,1001,24000,40,80,360,720,48.998683515402405,48.998683417382971,50.580339791936105,1.5816562765336997,-9.8019434346952039e-08
full,1920,1080,320,192,1524,1766525,24000,1001,24000,40,80,360,720,48.953689643603028,48.953689548022901,50.682854816979528,1.7291651733765008,-9.55801269242329e-08
full,1920,1080,320,192,1525,1767526,24000,1001,24000,40,80,360,720,49.100382846743742,49.100382742968229,50.208707643799627,1.1083247970558858,-1.0377551262763518e-07
full,1920,1080,320,192,1526,1768527,24000,1001,24000,40,80,360,720,49.098995939496625,49.098995841831851,50.867434749920477,1.7684388104238522,-9.7664774045824743e-08
full,1920,1080,320,192,1527,1769528,24000,1001,24000,40,80,360,720,49.04007201536708,49.040071921666907,50.078482101613247,1.0384100862461665,-9.3700172953958827e-08
historical_half,960,540,320,192,1498,1740499,24000,1001,24000,20,40,180,360,48.957092850513554,48.957092709581211,50.095115196505027,1.1380223459914731,-1.409323431289522e-07
historical_half,960,540,320,192,1499,1741500,24000,1001,24000,20,40,180,360,49.176463421927508,49.176463276161257,49.633587674343062,0.45712425241555366,-1.4576625062545645e-07
historical_half,960,540,320,192,1500,1742501,24000,1001,24000,20,40,180,360,49.329529956018121,49.329529849242682,49.373275868453874,0.043745912435753098,-1.0677543826886904e-07
historical_half,960,540,320,192,1501,1743502,24000,1001,24000,20,40,180,360,49.315029311933174,49.31502920081406,49.386704898261399,0.071675586328225904,-1.1111911391026297e-07
historical_half,960,540,320,192,1502,1744503,24000,1001,24000,20,40,180,360,49.051516870069698,49.051516817621277,49.776070787624086,0.72455391755438825,-5.2448420717610134e-08
historical_half,960,540,320,192,1503,1745504,24000,1001,24000,20,40,180,360,48.86199138459633,48.861991333405896,48.874000875470138,0.012009490873808204,-5.1190433225656307e-08
historical_half,960,540,320,192,1504,1746505,24000,1001,24000,20,40,180,360,48.981666787463652,48.981666707573005,49.483893682757724,0.50222689529407205,-7.9890646986768843e-08
historical_half,960,540,320,192,1505,1747506,24000,1001,24000,20,40,180,360,49.125692620849293,49.125692542884089,49.924260702632708,0.7985680817834151,-7.7965204070551408e-08
historical_half,960,540,320,192,1506,1748507,24000,1001,24000,20,40,180,360,48.944840391145611,48.944840302420879,49.577562770909779,0.6327223797641679,-8.872473244991852e-08
historical_half,960,540,320,192,1507,1749508,24000,1001,24000,20,40,180,360,48.770249141693149,48.770249080019695,49.19855897023622,0.42830982854307109,-6.1673453899402375e-08
historical_half,960,540,320,192,1508,1750509,24000,1001,24000,20,40,180,360,48.830645031573056,48.830644964837468,49.368677660219582,0.53803262864652623,-6.6735587722632772e-08
historical_half,960,540,320,192,1509,1751510,24000,1001,24000,20,40,180,360,48.892769684943907,48.892769627206455,49.537835245347615,0.6450655604037081,-5.7737452152650803e-08
historical_half,960,540,320,192,1510,1752511,24000,1001,24000,20,40,180,360,48.938448438162666,48.938448385134919,48.968960342932462,0.030511904769795706,-5.3027747526357416e-08
historical_half,960,540,320,192,1511,1753512,24000,1001,24000,20,40,180,360,48.947360237900618,48.947360177661942,49.153482490719711,0.20612225281909247,-6.0238676269364078e-08
historical_half,960,540,320,192,1512,1754513,24000,1001,24000,20,40,180,360,48.891553656637264,48.891553591582408,48.956614985484791,0.065061328847527022,-6.5054855724611116e-08
historical_half,960,540,320,192,1513,1755514,24000,1001,24000,20,40,180,360,48.794185935121675,48.794185854236339,48.713074919557563,-0.08111101556411171,-8.0885335762559407e-08
historical_half,960,540,320,192,1514,1756515,24000,1001,24000,20,40,180,360,48.893973549709123,48.893973477988723,48.677367345717172,-0.21660620399195096,-7.1720400285357755e-08
historical_half,960,540,320,192,1515,1757516,24000,1001,24000,20,40,180,360,48.896345639465643,48.89634557230562,49.156409989477254,0.26006435001161066,-6.716002332041171e-08
historical_half,960,540,320,192,1516,1758517,24000,1001,24000,20,40,180,360,48.868013763984074,48.868013698573229,49.4349265592761,0.56691279529202632,-6.5410844740654284e-08
historical_half,960,540,320,192,1517,1759518,24000,1001,24000,20,40,180,360,48.877933442713029,48.877933381105223,49.221043728047825,0.34311028533479515,-6.1607806856045499e-08
historical_half,960,540,320,192,1518,1760519,24000,1001,24000,20,40,180,360,48.96512136811716,48.965121306811888,49.700312470960796,0.7351911028436362,-6.1305271970013564e-08
historical_half,960,540,320,192,1519,1761520,24000,1001,24000,20,40,180,360,49.013280958396059,49.013280889325486,49.783757354852135,0.77047639645607546,-6.9070573260887613e-08
historical_half,960,540,320,192,1520,1762521,24000,1001,24000,20,40,180,360,49.003109374466476,49.003109306951366,49.916181600029738,0.91307222556326195,-6.7515109947180463e-08
historical_half,960,540,320,192,1521,1763522,24000,1001,24000,20,40,180,360,48.999305813401818,48.999305743284175,49.794915434034941,0.79560962063312246,-7.0117643247158412e-08
historical_half,960,540,320,192,1522,1764523,24000,1001,24000,20,40,180,360,48.989570496093464,48.989570424447592,49.789516792305065,0.79994629621160129,-7.1645871457803878e-08
historical_half,960,540,320,192,1523,1765524,24000,1001,24000,20,40,180,360,48.998683504718436,48.998683430983853,49.946938939409108,0.94825543469067242,-7.3734582883844269e-08
historical_half,960,540,320,192,1524,1766525,24000,1001,24000,20,40,180,360,48.953689631698495,48.953689560355471,49.380288125149221,0.42659849345072587,-7.1343023932968208e-08
historical_half,960,540,320,192,1525,1767526,24000,1001,24000,20,40,180,360,49.100382842174241,49.10038276798192,49.775190423610496,0.67480758143625508,-7.4192321619648283e-08
historical_half,960,540,320,192,1526,1768527,24000,1001,24000,20,40,180,360,49.098995930495306,49.098995859325953,49.525408091084955,0.42641216058964915,-7.1169353077493724e-08
historical_half,960,540,320,192,1527,1769528,24000,1001,24000,20,40,180,360,49.040072003014068,49.040071924262847,48.540035503556616,-0.5000364994574511,-7.8751220655703946e-08
