run,ordinal,engineGeneration,frameID,ptsValue,ptsTimescale,warmup,submittedHostSeconds,workerStartHostSeconds,completedHostSeconds,firstPositivePresentedHostSeconds,presentations,lastRedrawVideoMinusAudioSeconds,completedWorkSeconds,occupiedSlots,retainedBytes,processResidentBytes,inferenceWallSeconds,motionWallSeconds,reservedModelPayloadBytes,activationStatus,activationCount,activationLogLine,activationPlaybackGeneration,activationToken,activationPTSSeconds,feedbackHostSeconds,activationUserPlaying,audioBeforeSeconds,audioAfterSeconds,anchorAudioSeconds,anchorOutputEpoch,temporaryAudioUnavailable,activationMinusAudioBeforeSeconds,activationMinusAudioAfterSeconds,steadyEligible,steadyExclusionReasons
"""baseline-1""",0,6,0,733,1000,true,1059046.3457691253,1059053.2285453752,1059053.6041672085,1059053.7600124585,39,-4.165552798422483,0.37562183337286115,3,8665536,446185472,0.158692625,0.001371709,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",1,6,1,767,1000,true,1059046.3768625837,1059053.6042649169,1059054.3614335835,1059054.4016772085,11,-4.312997837840016,0.7571686666924506,3,8665536,448626688,0.252960709,0.490998083,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",2,6,207,7633,1000,true,1059053.2450715837,1059054.3614875418,1059054.5501652085,1059054.5850099586,201,-0.7961151602689549,0.18867766670882702,2,5777024,450641920,0.13574675,0.001676625,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",3,6,223,8167,1000,false,1059057.6607771253,1059057.660811917,1059057.9059466668,1059057.9349992918,11,-0.4435807820795432,0.2451347499154508,3,8665536,444825600,0.183709042,0.006079875,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",4,6,224,8200,1000,false,1059057.6940656253,1059057.9059775835,1059058.0837748752,1059058.1183321252,12,-0.6216626545105033,0.17779729166068137,3,8665536,443219968,0.151097833,0.02137875,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",5,6,231,8433,1000,false,1059057.9274973753,1059058.0838024586,1059058.2890663336,1059058.3183314586,11,-0.5621394844082968,0.20526387495920062,3,8665536,445382656,0.150640708,0.001434125,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",6,6,237,8633,1000,false,1059058.1273817918,1059058.2890985836,1059058.4633451253,1059058.5016642085,10,-0.5405784816298063,0.17424654169008136,3,8665536,445546496,0.125533834,0.001556,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",7,6,243,8833,1000,false,1059058.327347417,1059058.463364417,1059058.636547792,1059058.6683303337,10,-0.5059847293666326,0.17318337503820658,3,8665536,445628416,0.130199542,0.001469209,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",8,6,248,9000,1000,false,1059058.4940183752,1059058.6365693752,1059058.8035490003,1059058.834996542,10,-0.49598093541731103,0.16697962512262166,3,8665536,445677568,0.117382458,0.002156125,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
"""baseline-1""",9,6,254,9200,1000,false,1059058.6940076253,1059058.803571042,1059058.9700822919,1059059.0016626252,9,-0.44539372476390326,0.1665112499613315,3,8665536,445677568,0.117425791,0.001475917,291576650,"""unavailable: legacy/no activation audit""",0,,,,,,,,,,,,,,,
