ordinal,caseOrder,excludedWarmup,hasMotion,inputSHA256,pair,prepareCompletedWallSeconds,sourceFrameIndex,strategy,traversal,wrapDiscontinuity,ptsValue,ptsTimescale,durationValue,durationTimescale,mlxActiveBytes,mlxCacheBytes,mlxPeakActiveBytes,signature_hasMotion,reliableFraction,reset,warpedLumaError,signature_confidenceSHA256,signature_reliableFractionBits,signature_reset,signature_vectorsSHA256,signature_warpedLumaErrorBits,matchedExact,directBytesEqual
0,0,True,False,2067ac390b0ae7bb329aa2412208bdd5cd343cce076d9e653723773fae4aeb2f,0,0.039209083,1496,fresh,0,False,1738497,24000,1001,24000,298647552,0,298647552,False,,,,,,,,,,
1,0,True,True,26e222bb9f5e7471b646ea2c9aaa390c6d8295fff6a32776e1c662fe80b942af,0,0.052396917,1497,fresh,0,False,1739498,24000,1001,24000,323551232,72680592,396491024,True,0.558485746383667,False,0.0035485278349369764,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,1057945836,False,b5af93cbe1cc5d1d7f6ad42630abe65e9ea2748429906730d52b29109c701e87,996707947,,
2,0,True,True,e7e2b99a952b73cd3f5f6d84afa8bc6182ca7e151166c9c5dfaa1fbfc557d4b8,0,0.031770042,1498,fresh,0,False,1740499,24000,1001,24000,323551232,72680592,396491024,True,0,True,0.2732870578765869,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,0,True,1dd7f8a26e56dfba878da177773321a53dca3f2b9d00b46118d4425ec3093903,1049357384,,
3,0,False,True,14bb670c4466232e6ab633a2a6fdefd4c99bace2d8b10f6043f30829c0354b17,0,0.025787625,1499,fresh,0,False,1741500,24000,1001,24000,323551232,72680592,396491024,True,0.6067052483558655,False,0.0030015227384865284,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,1058754825,False,ee54d44ebac3dca564784630aa7e04eb0e50afdb17521dfa1b05c85b78882a48,994358578,,
4,0,False,True,d0803a559d88c0bd6b54e5cfded20c04d64f959e3c5009ee65a67a705aa33ce3,0,0.026381709,1500,fresh,0,False,1742501,24000,1001,24000,323551232,72680592,396491024,True,0.6119656562805176,False,0.0028315477538853884,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,1058843080,False,26438fbe98f93bb7ea392c433b2bfd232c214d8aa921dac0b16df381e5575aa2,993628541,,
5,0,False,True,4945f8e1ed2a6ce70e38e9f25e6ee38a7d2a8b0e0901cab474531c8113227e4e,0,0.022115583,1501,fresh,0,False,1743502,24000,1001,24000,323551232,72680592,396491024,True,0.6451500058174133,False,0.0034486516378819942,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,1059399821,False,7978f43a3bced6a1c55c28e1bf996272c6bc5d5c543a9ffead43532ef8542ed8,996278982,,
6,0,False,True,ad7ed19b2a9ce48b75220fac53032ab41cea9d4eddfe62f09bb1c86e063d6e46,0,0.021786583,1502,fresh,0,False,1744503,24000,1001,24000,323551232,72680592,396491024,True,0.54786217212677,False,0.0041915904730558395,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,1057767602,False,e33097e78f0358cea2f0b6c880c8d7430606842815c4dde063dad6f92247d23d,998857116,,
7,0,False,True,d0e5c2803d70ef53f24fac74b8d5709c4d6caeb53dcb90684c7e1275fa774a9b,0,0.02351125,1503,fresh,0,False,1745504,24000,1001,24000,323551232,72680592,396491024,True,0.5576794147491455,False,0.006229816935956478,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,1057932308,False,78c5f5048602e5bfe730d96301fea06c51773051ba1cc57f91269c205da7c095,1003234174,,
8,0,False,True,d841adda17732722059f6de44301e74fecb55acc82790a6183686bebf268ffa9,0,0.024838333,1504,fresh,0,False,1746505,24000,1001,24000,323551232,72680592,396491024,True,0.4978949725627899,False,0.007945631630718708,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,1056893975,False,24a3e209d060296693c3cbd16489d2a7e2d46cced3ec107c250b5b226a6785b8,1006775909,,
9,0,False,True,5e9f8c578fbdaa9a79951a9a0b0db54ad2a6dc573f3248623711260204a2f518,0,0.025892583,1505,fresh,0,False,1747506,24000,1001,24000,323551232,72680592,396491024,True,0.527655303478241,False,0.007524316199123859,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,1057428587,False,d25a99836273ea0743af4085c581ad6a8686930de7930c31b2dc4751ddf3138e,1006014090,,
