sequence,arm,caseOrder,confidence.bytes,confidence.maximum,confidence.meanFinite,confidence.minimum,confidence.nonfiniteComponents,confidence.sha256,directBytesEqual,duration.timescale,duration.value,excludedWarmup,hasMotion,inputSHA256,matchedExact,mlxBytes.active,mlxBytes.cache,mlxBytes.peakActive,outerEndUptimeNanoseconds,outerStartUptimeNanoseconds,pair,prepareCompletedWallSeconds,pts.timescale,pts.value,reliableFraction,reset,signature.confidenceSHA256,signature.hasMotion,signature.reliableFractionBits,signature.reset,signature.vectorsSHA256,signature.warpedLumaErrorBits,sourceFrameIndex,stages.ciResizeReturnWallSeconds,stages.innerPrepareWallSeconds,stages.measuredStageWallSumSeconds,stages.motionAssessmentCompletedWallSeconds,stages.outerMinusInnerWallSeconds,stages.packCommandGPUSeconds,stages.packCompletedWallSeconds,stages.randomAccessSubmitted,stages.residualWallSeconds,stages.uptimeNanoseconds.assessmentEnd,stages.uptimeNanoseconds.assessmentStart,stages.uptimeNanoseconds.entry,stages.uptimeNanoseconds.exit,stages.uptimeNanoseconds.packEnd,stages.uptimeNanoseconds.packStart,stages.uptimeNanoseconds.resizeEnd,stages.uptimeNanoseconds.resizeStart,stages.uptimeNanoseconds.vtEnd,stages.uptimeNanoseconds.vtStart,stages.vtCallbackCompletionWallSeconds,traversal,vectors.bytes,vectors.maximum,vectors.meanFinite,vectors.minimum,vectors.nonfiniteComponents,vectors.sha256,warpedLumaError,workingPixels.bytesPerRow,workingPixels.height,workingPixels.logicalBytes,workingPixels.paddingExcluded,workingPixels.pixelFormat,workingPixels.sha256,workingPixels.width,wrapDiscontinuity
0,production,0,,,,,,,,24000,1001,true,false,2067ac390b0ae7bb329aa2412208bdd5cd343cce076d9e653723773fae4aeb2f,,298647552,0,298647552,1053400293446541,1053400267171333,0,0.026275208,24000,1738497,,,,false,,,,,1496,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false
1,production,0,8294400,1,0.5580001935950686,0,0,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,,24000,1001,true,true,26e222bb9f5e7471b646ea2c9aaa390c6d8295fff6a32776e1c662fe80b942af,,323551232,72680592,396491024,1053400339508208,1053400293497166,0,0.046011042,24000,1739498,0.558485746383667,false,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,true,1057945836,false,b5af93cbe1cc5d1d7f6ad42630abe65e9ea2748429906730d52b29109c701e87,996707947,1497,,,,,,,,,,,,,,,,,,,,,0,16588800,0.011241086758673191,-0.00039731407795095766,-0.0075321197509765625,0,b5af93cbe1cc5d1d7f6ad42630abe65e9ea2748429906730d52b29109c701e87,0.0035485278349369764,,,,,,,,false
2,production,0,8294400,0,0,0,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,24000,1001,true,true,e7e2b99a952b73cd3f5f6d84afa8bc6182ca7e151166c9c5dfaa1fbfc557d4b8,,323551232,72680592,396491024,1053400402477166,1053400366403708,0,0.036073458,24000,1740499,0,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,true,0,true,1dd7f8a26e56dfba878da177773321a53dca3f2b9d00b46118d4425ec3093903,1049357384,1498,,,,,,,,,,,,,,,,,,,,,0,16588800,0.12668024003505707,-0.00822357325689355,-0.23784224689006805,0,1dd7f8a26e56dfba878da177773321a53dca3f2b9d00b46118d4425ec3093903,0.2732870578765869,,,,,,,,false
3,production,0,8294400,1,0.6057567670294466,0,0,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,,24000,1001,false,true,14bb670c4466232e6ab633a2a6fdefd4c99bace2d8b10f6043f30829c0354b17,,323551232,72680592,396491024,1053400461238333,1053400428174500,0,0.033063833,24000,1741500,0.6067052483558655,false,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,true,1058754825,false,ee54d44ebac3dca564784630aa7e04eb0e50afdb17521dfa1b05c85b78882a48,994358578,1499,,,,,,,,,,,,,,,,,,,,,0,16588800,0.002702204277738929,2.3930811790998148e-05,-0.008261729963123798,0,ee54d44ebac3dca564784630aa7e04eb0e50afdb17521dfa1b05c85b78882a48,0.0030015227384865284,,,,,,,,false
4,production,0,8294400,1,0.6108848549398807,0,0,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,,24000,1001,false,true,d0803a559d88c0bd6b54e5cfded20c04d64f959e3c5009ee65a67a705aa33ce3,,323551232,72680592,396491024,1053400535945250,1053400489234250,0,0.046711,24000,1742501,0.6119656562805176,false,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,true,1058843080,false,26438fbe98f93bb7ea392c433b2bfd232c214d8aa921dac0b16df381e5575aa2,993628541,1500,,,,,,,,,,,,,,,,,,,,,0,16588800,0.00523300189524889,3.935026889083583e-06,-0.009355559013783932,0,26438fbe98f93bb7ea392c433b2bfd232c214d8aa921dac0b16df381e5575aa2,0.0028315477538853884,,,,,,,,false
5,production,0,8294400,1,0.6434173492906502,0,0,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,,24000,1001,false,true,4945f8e1ed2a6ce70e38e9f25e6ee38a7d2a8b0e0901cab474531c8113227e4e,,323551232,72680592,396491024,1053400601001291,1053400569471500,0,0.031529791,24000,1743502,0.6451500058174133,false,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,true,1059399821,false,7978f43a3bced6a1c55c28e1bf996272c6bc5d5c543a9ffead43532ef8542ed8,996278982,1501,,,,,,,,,,,,,,,,,,,,,0,16588800,0.0060884952545166016,-0.00011930742275908047,-0.011883347295224667,0,7978f43a3bced6a1c55c28e1bf996272c6bc5d5c543a9ffead43532ef8542ed8,0.0034486516378819942,,,,,,,,false
6,production,0,8294400,1,0.5464105376980998,0,0,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,,24000,1001,false,true,ad7ed19b2a9ce48b75220fac53032ab41cea9d4eddfe62f09bb1c86e063d6e46,,323551232,72680592,396491024,1053400656259666,1053400627206208,0,0.029053458,24000,1744503,0.54786217212677,false,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,true,1057767602,false,e33097e78f0358cea2f0b6c880c8d7430606842815c4dde063dad6f92247d23d,998857116,1502,,,,,,,,,,,,,,,,,,,,,0,16588800,0.011320527642965317,-0.00025843947588864924,-0.015538307838141918,0,e33097e78f0358cea2f0b6c880c8d7430606842815c4dde063dad6f92247d23d,0.0041915904730558395,,,,,,,,false
7,production,0,8294400,1,0.5558029466185292,0,0,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,,24000,1001,false,true,d0e5c2803d70ef53f24fac74b8d5709c4d6caeb53dcb90684c7e1275fa774a9b,,323551232,72680592,396491024,1053400715853250,1053400682137333,0,0.033715917,24000,1745504,0.5576794147491455,false,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,true,1057932308,false,78c5f5048602e5bfe730d96301fea06c51773051ba1cc57f91269c205da7c095,1003234174,1503,,,,,,,,,,,,,,,,,,,,,0,16588800,0.018684513866901398,-0.0007737493323636908,-0.020751897245645523,0,78c5f5048602e5bfe730d96301fea06c51773051ba1cc57f91269c205da7c095,0.006229816935956478,,,,,,,,false
8,production,0,8294400,1,0.4967001883586973,0,0,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,,24000,1001,false,true,d841adda17732722059f6de44301e74fecb55acc82790a6183686bebf268ffa9,,323551232,72680592,396491024,1053400774354875,1053400742609458,0,0.031745417,24000,1746505,0.4978949725627899,false,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,true,1056893975,false,24a3e209d060296693c3cbd16489d2a7e2d46cced3ec107c250b5b226a6785b8,1006775909,1504,,,,,,,,,,,,,,,,,,,,,0,16588800,0.02484792098402977,-0.000152401579508241,-0.027530359104275703,0,24a3e209d060296693c3cbd16489d2a7e2d46cced3ec107c250b5b226a6785b8,0.007945631630718708,,,,,,,,false
9,production,0,8294400,1,0.5260632195270778,0,0,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,,24000,1001,false,true,5e9f8c578fbdaa9a79951a9a0b0db54ad2a6dc573f3248623711260204a2f518,,323551232,72680592,396491024,1053400830636250,1053400800304750,0,0.0303315,24000,1747506,0.527655303478241,false,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,true,1057428587,false,d25a99836273ea0743af4085c581ad6a8686930de7930c31b2dc4751ddf3138e,1006014090,1505,,,,,,,,,,,,,,,,,,,,,0,16588800,0.02820619009435177,-0.0005357904402438571,-0.03139456361532211,0,d25a99836273ea0743af4085c581ad6a8686930de7930c31b2dc4751ddf3138e,0.007524316199123859,,,,,,,,false
