sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,residual,controlHistoryReset,flashHistoryReset,publicMotionRequested,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
0,0,30,1,30,prefix,controlEnhancedMinusOriginal,True,True,automatic,691200,-2488808.631024592,3195703.751518302,1191537850.2248812,-3.60070693145919,4.623413992358655,41.51949442816855,1701.8648681640625,-1701.8648681640625,0,447,226,B
0,0,30,1,30,prefix,flashEnhancedMinusOriginal,True,True,automatic,691200,-2488808.631024592,3195703.751518302,1191537850.2248812,-3.60070693145919,4.623413992358655,41.51949442816855,1701.8648681640625,-1701.8648681640625,0,447,226,B
0,0,30,1,30,prefix,pairedResidualDifference,True,True,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,R
1,1,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2348316.9005745943,2962883.127942353,942057325.7741554,-3.3974492195812998,4.286578599453636,36.9178839970112,1662.5518188476562,-1662.5518188476562,1,447,226,B
1,1,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2348316.9005745943,2962883.127942353,942057325.7741554,-3.3974492195812998,4.286578599453636,36.9178839970112,1662.5518188476562,-1662.5518188476562,1,447,226,B
1,1,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,R
2,2,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2413160.7163403435,2985209.390013437,954034709.9948925,-3.491262610446099,4.318879325829625,37.15183104962436,1663.58251953125,-1663.58251953125,2,447,226,B
2,2,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2413160.7163403435,2985209.390013437,954034709.9948925,-3.491262610446099,4.318879325829625,37.15183104962436,1663.58251953125,-1663.58251953125,2,447,226,B
2,2,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,R
3,3,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2384145.6686489442,3019271.5904325703,969794305.6161026,-3.449284821540718,4.3681591296767515,37.45742771770374,1664.0241088867188,-1664.0241088867188,3,447,226,B
3,3,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2384145.6686489442,3019271.5904325703,969794305.6161026,-3.449284821540718,4.3681591296767515,37.45742771770374,1664.0241088867188,-1664.0241088867188,3,447,226,B
3,3,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,R
4,4,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2587007.6190184355,3193252.637320757,1135150877.1659741,-3.7427772265891717,4.619867820197855,40.52517787988281,1681.40380859375,-1681.40380859375,4,481,206,B
4,4,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2587007.6190184355,3193252.637320757,1135150877.1659741,-3.7427772265891717,4.619867820197855,40.52517787988281,1681.40380859375,-1681.40380859375,4,481,206,B
4,4,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,R
5,5,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2540946.103098507,3135343.8632127,1066271132.7912709,-3.6761373019364973,4.5360877650646705,39.27642593524302,1678.8146362304688,-1678.8146362304688,5,447,226,B
5,5,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2540946.103098507,3135343.8632127,1066271132.7912709,-3.6761373019364973,4.5360877650646705,39.27642593524302,1678.8146362304688,-1678.8146362304688,5,447,226,B
5,5,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,R
6,6,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2374630.401294471,2963088.8285052194,909054265.07045,-3.4355185203913066,4.286876198647597,36.26544740051878,1661.447265625,-1661.447265625,6,447,226,B
6,6,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2374630.401294471,2963088.8285052194,909054265.07045,-3.4355185203913066,4.286876198647597,36.26544740051878,1661.447265625,-1661.447265625,6,447,226,B
6,6,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,R
7,7,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2633101.8797426247,3250789.741598072,1206362731.5621805,-3.8094645250906027,4.703110158562025,41.77698471542527,1697.6221923828125,-1697.6221923828125,7,447,226,B
7,7,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2633101.8797426247,3250789.741598072,1206362731.5621805,-3.8094645250906027,4.703110158562025,41.77698471542527,1697.6221923828125,-1697.6221923828125,7,447,226,B
7,7,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,R
8,8,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2666866.6717430796,3265759.9388441886,1176247266.21328,-3.858314050554224,4.724768430040782,41.252231740506524,1680.4463500976562,-1680.4463500976562,8,447,226,B
8,8,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2666866.6717430796,3265759.9388441886,1176247266.21328,-3.858314050554224,4.724768430040782,41.252231740506524,1680.4463500976562,-1680.4463500976562,8,447,226,B
8,8,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,R
9,9,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2717538.675023268,3314373.1558857663,1268780630.11992,-3.931624240485052,4.795100051918064,42.844137575574926,1712.7222290039062,-1712.7222290039062,9,447,226,B
9,9,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2717538.675023268,3314373.1558857663,1268780630.11992,-3.931624240485052,4.795100051918064,42.844137575574926,1712.7222290039062,-1712.7222290039062,9,447,226,B
9,9,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
10,10,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2762232.6797275906,3379377.788926876,1341696755.6693661,-3.9962857056244077,4.889146106665041,44.058054931905055,1700.5391235351562,-1700.5391235351562,10,447,226,B
10,10,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2762232.6797275906,3379377.788926876,1341696755.6693661,-3.9962857056244077,4.889146106665041,44.058054931905055,1700.5391235351562,-1700.5391235351562,10,447,226,B
10,10,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
11,11,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2433028.374949119,3035114.834712169,972802968.4314166,-3.520006329498147,4.391080490034967,37.51548616255752,1684.5014038085938,-1684.5014038085938,11,447,226,B
11,11,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2433028.374949119,3035114.834712169,972802968.4314166,-3.520006329498147,4.391080490034967,37.51548616255752,1684.5014038085938,-1684.5014038085938,11,447,226,B
11,11,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
12,12,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2577780.6330656754,3184912.1856283294,1172697979.078322,-3.729427999226961,4.607801194485431,41.18994609787907,1698.4925537109375,-1698.4925537109375,12,447,226,B
