sampleKind,sourceFrameIndex,previousSourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,metric,controlHistoryReset,grainHistoryReset,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
frame,0,,0,30,1,30,prefix,C,True,True,691200,-2488808.631024592,3195703.751518302,1191537850.2248812,-3.60070693145919,4.623413992358655,41.51949442816855,1701.8648681640625,-1701.8648681640625,0,447,226,B
frame,0,,0,30,1,30,prefix,R,True,True,691200,-2488808.631024592,3195703.751518302,1191537850.2248812,-3.60070693145919,4.623413992358655,41.51949442816855,1701.8648681640625,-1701.8648681640625,0,447,226,B
frame,0,,0,30,1,30,prefix,G,True,True,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,R
frame,0,,0,30,1,30,prefix,Q,True,True,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,R
frame,0,,0,30,1,30,prefix,D,True,True,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,R
frame,1,,1,30,1,30,prefix,C,False,False,691200,-2348316.9005745943,2962883.127942353,942057325.7741554,-3.3974492195812998,4.286578599453636,36.9178839970112,1662.5518188476562,-1662.5518188476562,1,447,226,B
frame,1,,1,30,1,30,prefix,R,False,False,691200,-2348316.9005745943,2962883.127942353,942057325.7741554,-3.3974492195812998,4.286578599453636,36.9178839970112,1662.5518188476562,-1662.5518188476562,1,447,226,B
frame,1,,1,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,R
frame,1,,1,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,R
frame,1,,1,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,R
adjacent,1,0,1,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,R
adjacent,1,0,1,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,R
adjacent,1,0,1,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,R
frame,2,,2,30,1,30,prefix,C,False,False,691200,-2413160.7163403435,2985209.390013437,954034709.9948925,-3.491262610446099,4.318879325829625,37.15183104962436,1663.58251953125,-1663.58251953125,2,447,226,B
frame,2,,2,30,1,30,prefix,R,False,False,691200,-2413160.7163403435,2985209.390013437,954034709.9948925,-3.491262610446099,4.318879325829625,37.15183104962436,1663.58251953125,-1663.58251953125,2,447,226,B
frame,2,,2,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,R
frame,2,,2,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,R
frame,2,,2,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,R
adjacent,2,1,2,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,R
adjacent,2,1,2,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,R
adjacent,2,1,2,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,R
