sequence,byteEqual,endUptimeNanoseconds,erosionCompletedWallSeconds,expectedSHA256,inputSHA256,maskKind,maskName,maskProvenance,measured,mlxBytes.active,mlxBytes.cache,mlxBytes.peakActive,orderIndex,outputSHA256,outputStatistics.bytes,outputStatistics.maximumFinite,outputStatistics.meanFinite,outputStatistics.minimumFinite,outputStatistics.negativeScalars,outputStatistics.nonfiniteScalars,outputStatistics.positiveFraction,outputStatistics.positiveScalars,outputStatistics.sha256,outputStatistics.zeroScalars,pass,phase,sourceFrameIndex,startUptimeNanoseconds
0,true,1054667119664916,0.00685625,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,7389257eb62b35d1311f9027f2cc088363fdef9f52406398a05024e96ca7634f,actual-pre-erode,natural-1497,natural,false,124600352,230278256,421394704,0,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,8294400,1,0.5580001935950686,0,0,0,0.5587991898148148,1158726,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,914874,0,first-isolated,1497,1054667112808666
1,true,1054667141425291,0.001116958,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,actual-pre-erode,natural-1498,natural,false,124600352,230278256,421394704,1,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,8294400,0,0,0,0,0,0,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,2073600,0,first-isolated,1498,1054667140308333
2,true,1054667168950791,0.006693916,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,189292e00661ef089f37c248b608e927d6ac2828d78ec57b3b8a070aee243ef1,actual-pre-erode,natural-1499,natural,false,124600352,230278256,421394704,2,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,8294400,1,0.6057567670294466,0,0,0,0.6072608024691358,1259216,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,814384,0,first-isolated,1499,1054667162256875
3,true,1054667192641500,0.003480042,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,a1831330a8b322484403fd9244f7cff12dcec82bc068b0215790e84a55edb66c,actual-pre-erode,natural-1500,natural,false,124600352,230278256,421394704,3,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,8294400,1,0.6108848549398807,0,0,0,0.6125993441358024,1270286,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,803314,0,first-isolated,1500,1054667189161458
4,true,1054667216711708,0.003637625,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,10a50f2709cccd846b33cda5498a15b41ad61332e2284bd7c8a188f4134d4c12,actual-pre-erode,natural-1501,natural,false,124600352,230278256,421394704,4,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,8294400,1,0.6434173492906502,0,0,0,0.6461193094135802,1339793,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,733807,0,first-isolated,1501,1054667213074083
5,true,1054667243863625,0.006377375,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,80fb7b59839bc3ef553ea700cca4948213992df8929b065322b349df5c2b9974,actual-pre-erode,natural-1502,natural,false,124600352,230278256,421394704,5,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,8294400,1,0.5464105376980998,0,0,0,0.5487823109567901,1137955,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,935645,0,first-isolated,1502,1054667237486250
6,true,1054667265583125,0.001264542,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,cb432adf0baf47a4e0ed095cc7d823427738c5aa006135d016d6ae9ddee87899,actual-pre-erode,natural-1503,natural,false,124600352,230278256,421394704,6,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,8294400,1,0.5558029466185292,0,0,0,0.5594878472222222,1160154,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,913446,0,first-isolated,1503,1054667264318583
7,true,1054667292065291,0.006037791,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,bc1efaeb0a94427015bf1b360a9ed5013c1959c7be0f97eacee15e97fa4d5345,actual-pre-erode,natural-1504,natural,false,124600352,230278256,421394704,7,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,8294400,1,0.4967001883586973,0,0,0,0.4987109375,1034127,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,1039473,0,first-isolated,1504,1054667286027500
8,true,1054667315815166,0.0034325,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,3cd48e5b732947674c4a6e32824115b3e41ae92049a89938af339726f6f4ede5,actual-pre-erode,natural-1505,natural,false,124600352,230278256,421394704,8,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,8294400,1,0.5260632195270778,0,0,0,0.5287456597222222,1096407,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,977193,0,first-isolated,1505,1054667312382666
9,true,1054667342526666,0.006004041,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,6c5f8a443a7b5b54701f1a7774dac18df1a092494a23d814bdd77e6c6bbe710b,actual-pre-erode,natural-1506,natural,false,124600352,230278256,421394704,9,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,8294400,1,0.4329532932854955,0,0,0,0.4353197337962963,902679,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,1170921,0,first-isolated,1506,1054667336522625
10,true,1054667367195791,0.0036565,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,8c68fdeba1e149eae0336bbc5b4aecca6822250c7a21a8bcb8a057ee93d8da2f,actual-pre-erode,natural-1507,natural,false,124600352,230278256,421394704,10,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,8294400,1,0.5346288507812772,0,0,0,0.5367033179012346,1112908,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,960692,0,first-isolated,1507,1054667363539291
11,true,1054667396431833,0.008009958,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,synthetic,all-positive,synthetic,false,124600352,230278256,421394704,11,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,8294400,0.875,0.4999996383101852,0.125,0,0,1,2073600,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,0,0,first-isolated,null,1054667388421875
12,true,1054667421256750,0.004372375,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,80a6d83d82542a5c2fca9e35e10a611b62695ff07a8d290907159ff9876b37e8,synthetic,sparse-invalid,synthetic,false,124600352,230278256,421394704,12,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,8294400,0.875,0.4977750651041667,0,0,0,0.995550250771605,2064373,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,9227,0,first-isolated,null,1054667416884375
