sourceFrameIndex,ordinal,view,ptsValue,ptsTimescale,durationValue,durationTimescale,generation,historyReset,usedModel,bytes,oldSHA256,newSHA256,byteEqual,differentFloat32BitPatterns,oldNonfiniteComponents,newNonfiniteComponents,maximumAbsoluteDifference,meanAbsoluteDifference
1488,0,original,1730489,24000,1001,24000,1,true,true,24883200,f35e4c8b496a6c990ed0387d5d608267019a97d89163063bd5f23b123cae0023,f35e4c8b496a6c990ed0387d5d608267019a97d89163063bd5f23b123cae0023,true,0,0,0,0.0,0.0
1488,0,proxy,1730489,24000,1001,24000,1,true,true,24883200,9a6b6e60b0bc1e1389a68bb4252bc5978099a147b48419c48cecaca774a2a801,9a6b6e60b0bc1e1389a68bb4252bc5978099a147b48419c48cecaca774a2a801,true,0,0,0,0.0,0.0
1488,0,identity,1730489,24000,1001,24000,1,true,true,24883200,bc7ab716a3671abb57e149d2b7e45a53407c4f34e0871cf31fb25474f875079f,bc7ab716a3671abb57e149d2b7e45a53407c4f34e0871cf31fb25474f875079f,true,0,0,0,0.0,0.0
1488,0,enhanced,1730489,24000,1001,24000,1,true,true,24883200,5e3da9cf59dbd124ec26b0f03f376d4270e9b8425482d7611595e40392e95a38,5e3da9cf59dbd124ec26b0f03f376d4270e9b8425482d7611595e40392e95a38,true,0,0,0,0.0,0.0
1489,1,original,1731490,24000,1001,24000,1,false,true,24883200,0546045f6d83ae552faf7dc77ce43afad7931c9c12b5567c8dd900a7ba7739b8,0546045f6d83ae552faf7dc77ce43afad7931c9c12b5567c8dd900a7ba7739b8,true,0,0,0,0.0,0.0
1489,1,proxy,1731490,24000,1001,24000,1,false,true,24883200,81cca9a115b113d1527f52d82411d2222d45a5ebd5c9d8256847f6eb89481fcd,81cca9a115b113d1527f52d82411d2222d45a5ebd5c9d8256847f6eb89481fcd,true,0,0,0,0.0,0.0
1489,1,identity,1731490,24000,1001,24000,1,false,true,24883200,5778c4a5c4e36e94ccdb3f533e9ba4d1547f36f0ef839b1c403576520db6f73a,5778c4a5c4e36e94ccdb3f533e9ba4d1547f36f0ef839b1c403576520db6f73a,true,0,0,0,0.0,0.0
1489,1,enhanced,1731490,24000,1001,24000,1,false,true,24883200,195d194996efdffb88e4a685d9ca9c640ed5ff18e3871bfe553c15822ef3d5ec,195d194996efdffb88e4a685d9ca9c640ed5ff18e3871bfe553c15822ef3d5ec,true,0,0,0,0.0,0.0
1490,2,original,1732491,24000,1001,24000,1,false,true,24883200,ce4fd8d2dca54725e8821f098c618b31acc45aced8c64dad7e8dc80b54770f5a,ce4fd8d2dca54725e8821f098c618b31acc45aced8c64dad7e8dc80b54770f5a,true,0,0,0,0.0,0.0
1490,2,proxy,1732491,24000,1001,24000,1,false,true,24883200,49e5b7ed2841ebcbd88d946e75dc21f664605dd746334f8c4113957b9676cac5,49e5b7ed2841ebcbd88d946e75dc21f664605dd746334f8c4113957b9676cac5,true,0,0,0,0.0,0.0
