sequence,group,setting,repetition,phase,arm,orderIndex,transferStrength,transferStrengthBits,colorStrength,colorStrengthBits,nativeResolveCompletedWallSeconds,outputSHA256,repeatMatchesFirstUse,mlxActiveBytes,mlxCacheBytes,mlxPeakActiveBytes
0,0,0,0,settings-first-use,baseline,0,0.05000000074505806,1028443341,0.10000000149011612,1036831949,0.054268375,8ad37af5404065c219985ea767097568680c54da0d13422751839b9780963549,True,99549184,0,99549184
1,0,0,0,settings-first-use,candidate,1,0.05000000074505806,1028443341,0.10000000149011612,1036831949,0.00951675,8ad37af5404065c219985ea767097568680c54da0d13422751839b9780963549,True,99549192,0,99549192
2,0,1,0,settings-first-use,candidate,0,0.10000000149011612,1036831949,0.25,1048576000,0.016796625,e34ab3af9606bb0aae1f9776ee41c54613c4ba110b3a255a5f1c68ce2c6ab6f9,True,99549192,0,99549192
3,0,1,0,settings-first-use,baseline,1,0.10000000149011612,1036831949,0.25,1048576000,0.064566208,e34ab3af9606bb0aae1f9776ee41c54613c4ba110b3a255a5f1c68ce2c6ab6f9,True,99549184,8,99549192
4,0,2,0,settings-first-use,baseline,0,0.15000000596046448,1041865114,0.5,1056964608,0.055383375,2a40787bcceb4bf3e40393aa999b43b34be60398d90144f5beb6a2a23ce7d9c5,True,99549184,8,99549192
5,0,2,0,settings-first-use,candidate,1,0.15000000596046448,1041865114,0.5,1056964608,0.012641292,2a40787bcceb4bf3e40393aa999b43b34be60398d90144f5beb6a2a23ce7d9c5,True,99549192,0,99549192
6,0,3,0,settings-first-use,candidate,0,0.20000000298023224,1045220557,0.75,1061158912,0.009056875,85f3a25df4880202493d23f6dccc59fc5c1b7ad970945bb9c4724c29409a20cf,True,99549192,0,99549192
7,0,3,0,settings-first-use,baseline,1,0.20000000298023224,1045220557,0.75,1061158912,0.056876,85f3a25df4880202493d23f6dccc59fc5c1b7ad970945bb9c4724c29409a20cf,True,99549184,8,99549192
8,0,4,0,settings-first-use,baseline,0,0.25,1048576000,1,1065353216,0.051,1ac1eb56bc32a80f501df60d54ee24e3492681677b7cc01729e64b920b7a96d0,True,99549184,8,99549192
9,0,4,0,settings-first-use,candidate,1,0.25,1048576000,1,1065353216,0.009215458,1ac1eb56bc32a80f501df60d54ee24e3492681677b7cc01729e64b920b7a96d0,True,99549192,0,99549192
10,0,5,0,settings-first-use,candidate,0,0.30000001192092896,1050253722,0.15000000596046448,1041865114,0.004966417,20ad75b4eedeee5d1ae79e0029c47c7109aa31c6b9384ee58b327476612d2251,True,99549192,0,99549192
11,0,5,0,settings-first-use,baseline,1,0.30000001192092896,1050253722,0.15000000596046448,1041865114,0.069102834,20ad75b4eedeee5d1ae79e0029c47c7109aa31c6b9384ee58b327476612d2251,True,99549184,8,99549192
12,0,6,0,settings-first-use,baseline,0,0.3499999940395355,1051931443,0.3499999940395355,1051931443,0.058221667,817d48d80f47fa2ceb53827ce97cc98e77eb85821faae33f07da0eae532d1bd1,True,99549184,8,99549192
13,0,6,0,settings-first-use,candidate,1,0.3499999940395355,1051931443,0.3499999940395355,1051931443,0.004226958,817d48d80f47fa2ceb53827ce97cc98e77eb85821faae33f07da0eae532d1bd1,True,99549192,0,99549192
14,0,7,0,settings-first-use,candidate,0,0.4000000059604645,1053609165,0.6499999761581421,1059481190,0.014589584,4378c475299cad434d15b8f42b51728afd29dad310a32473140b771433a528d6,True,99549192,0,99549192
