arm,caseOrder,confidenceBytes,directBytesEqual,duration,excludedWarmup,expectedRandomAccessFromPublicHistory,hasMotion,inputSHA256,maskProvenance,matchedExact,measured,mlxBytes,nilHistoryCorrect,ordinalWithinCaseArm,outerEndUptimeNanoseconds,outerStartUptimeNanoseconds,outputFiniteAndExtentValid,pairedCase,phase,prepareCompletedWallSeconds,previousSourceFrameIndex,pts,reset,signature,sourceFrameIndex,traversal,vectorsBytes,wrapDiscontinuity
baseline,0,,,"{""timescale"":24000,""value"":1001}",true,null,false,2067ac390b0ae7bb329aa2412208bdd5cd343cce076d9e653723773fae4aeb2f,natural,,false,"{""active"":298647552,""cache"":0,""peakActive"":298647552}",true,0,1056967613481583,1056967579890125,true,0,traversal-warmup,0.033591458,null,"{""timescale"":24000,""value"":1738497}",,"{""confidenceSHA256"":null,""hasMotion"":false,""reliableFractionBits"":null,""reset"":null,""vectorsSHA256"":null,""warpedLumaErrorBits"":null}",1496,0,,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,true,true,26e222bb9f5e7471b646ea2c9aaa390c6d8295fff6a32776e1c662fe80b942af,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,1,1056967665590666,1056967614831416,true,0,traversal-warmup,0.05075925,1496,"{""timescale"":24000,""value"":1739498}",false,"{""confidenceSHA256"":""ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c"",""hasMotion"":true,""reliableFractionBits"":1057945836,""reset"":false,""vectorsSHA256"":""b5af93cbe1cc5d1d7f6ad42630abe65e9ea2748429906730d52b29109c701e87"",""warpedLumaErrorBits"":996707947}",1497,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,false,true,e7e2b99a952b73cd3f5f6d84afa8bc6182ca7e151166c9c5dfaa1fbfc557d4b8,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,2,1056967713259791,1056967683059583,true,0,traversal-warmup,0.030200208,1497,"{""timescale"":24000,""value"":1740499}",true,"{""confidenceSHA256"":""788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49"",""hasMotion"":true,""reliableFractionBits"":0,""reset"":true,""vectorsSHA256"":""1dd7f8a26e56dfba878da177773321a53dca3f2b9d00b46118d4425ec3093903"",""warpedLumaErrorBits"":1049357384}",1498,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,true,true,14bb670c4466232e6ab633a2a6fdefd4c99bace2d8b10f6043f30829c0354b17,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,3,1056967768302791,1056967729439791,true,0,measured,0.038863,1498,"{""timescale"":24000,""value"":1741500}",false,"{""confidenceSHA256"":""e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7"",""hasMotion"":true,""reliableFractionBits"":1058754825,""reset"":false,""vectorsSHA256"":""ee54d44ebac3dca564784630aa7e04eb0e50afdb17521dfa1b05c85b78882a48"",""warpedLumaErrorBits"":994358578}",1499,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,d0803a559d88c0bd6b54e5cfded20c04d64f959e3c5009ee65a67a705aa33ce3,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,4,1056967818593333,1056967783882750,true,0,measured,0.034710583,1499,"{""timescale"":24000,""value"":1742501}",false,"{""confidenceSHA256"":""ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb"",""hasMotion"":true,""reliableFractionBits"":1058843080,""reset"":false,""vectorsSHA256"":""26438fbe98f93bb7ea392c433b2bfd232c214d8aa921dac0b16df381e5575aa2"",""warpedLumaErrorBits"":993628541}",1500,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,4945f8e1ed2a6ce70e38e9f25e6ee38a7d2a8b0e0901cab474531c8113227e4e,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,5,1056967854733083,1056967834301416,true,0,measured,0.020431667,1500,"{""timescale"":24000,""value"":1743502}",false,"{""confidenceSHA256"":""7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004"",""hasMotion"":true,""reliableFractionBits"":1059399821,""reset"":false,""vectorsSHA256"":""7978f43a3bced6a1c55c28e1bf996272c6bc5d5c543a9ffead43532ef8542ed8"",""warpedLumaErrorBits"":996278982}",1501,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,ad7ed19b2a9ce48b75220fac53032ab41cea9d4eddfe62f09bb1c86e063d6e46,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,6,1056967898499791,1056967870264083,true,0,measured,0.028235708,1501,"{""timescale"":24000,""value"":1744503}",false,"{""confidenceSHA256"":""a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45"",""hasMotion"":true,""reliableFractionBits"":1057767602,""reset"":false,""vectorsSHA256"":""e33097e78f0358cea2f0b6c880c8d7430606842815c4dde063dad6f92247d23d"",""warpedLumaErrorBits"":998857116}",1502,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,d0e5c2803d70ef53f24fac74b8d5709c4d6caeb53dcb90684c7e1275fa774a9b,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,7,1056967932584375,1056967914175291,true,0,measured,0.018409084,1502,"{""timescale"":24000,""value"":1745504}",false,"{""confidenceSHA256"":""258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d"",""hasMotion"":true,""reliableFractionBits"":1057932308,""reset"":false,""vectorsSHA256"":""78c5f5048602e5bfe730d96301fea06c51773051ba1cc57f91269c205da7c095"",""warpedLumaErrorBits"":1003234174}",1503,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,d841adda17732722059f6de44301e74fecb55acc82790a6183686bebf268ffa9,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,8,1056967971897333,1056967948250000,true,0,measured,0.023647333,1503,"{""timescale"":24000,""value"":1746505}",false,"{""confidenceSHA256"":""19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d"",""hasMotion"":true,""reliableFractionBits"":1056893975,""reset"":false,""vectorsSHA256"":""24a3e209d060296693c3cbd16489d2a7e2d46cced3ec107c250b5b226a6785b8"",""warpedLumaErrorBits"":1006775909}",1504,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,5e9f8c578fbdaa9a79951a9a0b0db54ad2a6dc573f3248623711260204a2f518,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,9,1056968015506125,1056967988683375,true,0,measured,0.02682275,1504,"{""timescale"":24000,""value"":1747506}",false,"{""confidenceSHA256"":""def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d"",""hasMotion"":true,""reliableFractionBits"":1057428587,""reset"":false,""vectorsSHA256"":""d25a99836273ea0743af4085c581ad6a8686930de7930c31b2dc4751ddf3138e"",""warpedLumaErrorBits"":1006014090}",1505,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,005b4fbe5a259b3440cdbacb4d77d7d1174f34b0c160e36ea1d31a6d1e17e58c,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,10,1056968055782625,1056968033561583,true,0,measured,0.022221042,1505,"{""timescale"":24000,""value"":1748507}",false,"{""confidenceSHA256"":""4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6"",""hasMotion"":true,""reliableFractionBits"":1054758990,""reset"":false,""vectorsSHA256"":""6535db30047013aff9361867183968d00e14f046061dc1e02eb431fc8c269d36"",""warpedLumaErrorBits"":1006712293}",1506,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,ae848c323367785c4afaf1dce9a980f379438c1285609a99009bbad4ea0dc89b,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,11,1056968104440458,1056968072970875,true,0,measured,0.031469583,1506,"{""timescale"":24000,""value"":1749508}",false,"{""confidenceSHA256"":""4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de"",""hasMotion"":true,""reliableFractionBits"":1057566584,""reset"":false,""vectorsSHA256"":""95337bec55e8cd043e66cac3aa222461d766c6318d86d69f2b8bc74569569192"",""warpedLumaErrorBits"":1007816552}",1507,0,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,true,true,2067ac390b0ae7bb329aa2412208bdd5cd343cce076d9e653723773fae4aeb2f,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,12,1056968138522458,1056968120472041,true,0,traversal-warmup,0.018050417,1507,"{""timescale"":24000,""value"":1738497}",true,"{""confidenceSHA256"":""788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49"",""hasMotion"":true,""reliableFractionBits"":0,""reset"":true,""vectorsSHA256"":""ca954688e08310567d16960ff74c9983fbd4bc77c918b924a37f77d810b0668c"",""warpedLumaErrorBits"":1049003833}",1496,1,16588800,true
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,true,true,26e222bb9f5e7471b646ea2c9aaa390c6d8295fff6a32776e1c662fe80b942af,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,13,1056968178227208,1056968154800291,true,0,traversal-warmup,0.023426917,1496,"{""timescale"":24000,""value"":1739498}",false,"{""confidenceSHA256"":""ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c"",""hasMotion"":true,""reliableFractionBits"":1057945836,""reset"":false,""vectorsSHA256"":""b5af93cbe1cc5d1d7f6ad42630abe65e9ea2748429906730d52b29109c701e87"",""warpedLumaErrorBits"":996707947}",1497,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,false,true,e7e2b99a952b73cd3f5f6d84afa8bc6182ca7e151166c9c5dfaa1fbfc557d4b8,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,14,1056968215863500,1056968194432166,true,0,traversal-warmup,0.021431334,1497,"{""timescale"":24000,""value"":1740499}",true,"{""confidenceSHA256"":""788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49"",""hasMotion"":true,""reliableFractionBits"":0,""reset"":true,""vectorsSHA256"":""1dd7f8a26e56dfba878da177773321a53dca3f2b9d00b46118d4425ec3093903"",""warpedLumaErrorBits"":1049357384}",1498,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,true,true,14bb670c4466232e6ab633a2a6fdefd4c99bace2d8b10f6043f30829c0354b17,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,15,1056968258775000,1056968231772000,true,0,measured,0.027003,1498,"{""timescale"":24000,""value"":1741500}",false,"{""confidenceSHA256"":""e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7"",""hasMotion"":true,""reliableFractionBits"":1058754825,""reset"":false,""vectorsSHA256"":""ee54d44ebac3dca564784630aa7e04eb0e50afdb17521dfa1b05c85b78882a48"",""warpedLumaErrorBits"":994358578}",1499,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,d0803a559d88c0bd6b54e5cfded20c04d64f959e3c5009ee65a67a705aa33ce3,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,16,1056968294409875,1056968274634041,true,0,measured,0.019775834,1499,"{""timescale"":24000,""value"":1742501}",false,"{""confidenceSHA256"":""ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb"",""hasMotion"":true,""reliableFractionBits"":1058843080,""reset"":false,""vectorsSHA256"":""26438fbe98f93bb7ea392c433b2bfd232c214d8aa921dac0b16df381e5575aa2"",""warpedLumaErrorBits"":993628541}",1500,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,4945f8e1ed2a6ce70e38e9f25e6ee38a7d2a8b0e0901cab474531c8113227e4e,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,17,1056968329428375,1056968310560958,true,0,measured,0.018867417,1500,"{""timescale"":24000,""value"":1743502}",false,"{""confidenceSHA256"":""7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004"",""hasMotion"":true,""reliableFractionBits"":1059399821,""reset"":false,""vectorsSHA256"":""7978f43a3bced6a1c55c28e1bf996272c6bc5d5c543a9ffead43532ef8542ed8"",""warpedLumaErrorBits"":996278982}",1501,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,ad7ed19b2a9ce48b75220fac53032ab41cea9d4eddfe62f09bb1c86e063d6e46,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,18,1056968367171500,1056968345648708,true,0,measured,0.021522792,1501,"{""timescale"":24000,""value"":1744503}",false,"{""confidenceSHA256"":""a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45"",""hasMotion"":true,""reliableFractionBits"":1057767602,""reset"":false,""vectorsSHA256"":""e33097e78f0358cea2f0b6c880c8d7430606842815c4dde063dad6f92247d23d"",""warpedLumaErrorBits"":998857116}",1502,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,d0e5c2803d70ef53f24fac74b8d5709c4d6caeb53dcb90684c7e1275fa774a9b,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,19,1056968407873500,1056968383458791,true,0,measured,0.024414709,1502,"{""timescale"":24000,""value"":1745504}",false,"{""confidenceSHA256"":""258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d"",""hasMotion"":true,""reliableFractionBits"":1057932308,""reset"":false,""vectorsSHA256"":""78c5f5048602e5bfe730d96301fea06c51773051ba1cc57f91269c205da7c095"",""warpedLumaErrorBits"":1003234174}",1503,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,d841adda17732722059f6de44301e74fecb55acc82790a6183686bebf268ffa9,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,20,1056968450753875,1056968424216500,true,0,measured,0.026537375,1503,"{""timescale"":24000,""value"":1746505}",false,"{""confidenceSHA256"":""19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d"",""hasMotion"":true,""reliableFractionBits"":1056893975,""reset"":false,""vectorsSHA256"":""24a3e209d060296693c3cbd16489d2a7e2d46cced3ec107c250b5b226a6785b8"",""warpedLumaErrorBits"":1006775909}",1504,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,5e9f8c578fbdaa9a79951a9a0b0db54ad2a6dc573f3248623711260204a2f518,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,21,1056968491066041,1056968467287375,true,0,measured,0.023778666,1504,"{""timescale"":24000,""value"":1747506}",false,"{""confidenceSHA256"":""def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d"",""hasMotion"":true,""reliableFractionBits"":1057428587,""reset"":false,""vectorsSHA256"":""d25a99836273ea0743af4085c581ad6a8686930de7930c31b2dc4751ddf3138e"",""warpedLumaErrorBits"":1006014090}",1505,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,005b4fbe5a259b3440cdbacb4d77d7d1174f34b0c160e36ea1d31a6d1e17e58c,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,22,1056968536854166,1056968507667875,true,0,measured,0.029186291,1505,"{""timescale"":24000,""value"":1748507}",false,"{""confidenceSHA256"":""4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6"",""hasMotion"":true,""reliableFractionBits"":1054758990,""reset"":false,""vectorsSHA256"":""6535db30047013aff9361867183968d00e14f046061dc1e02eb431fc8c269d36"",""warpedLumaErrorBits"":1006712293}",1506,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,ae848c323367785c4afaf1dce9a980f379438c1285609a99009bbad4ea0dc89b,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,23,1056968571403458,1056968553520333,true,0,measured,0.017883125,1506,"{""timescale"":24000,""value"":1749508}",false,"{""confidenceSHA256"":""4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de"",""hasMotion"":true,""reliableFractionBits"":1057566584,""reset"":false,""vectorsSHA256"":""95337bec55e8cd043e66cac3aa222461d766c6318d86d69f2b8bc74569569192"",""warpedLumaErrorBits"":1007816552}",1507,1,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,true,true,2067ac390b0ae7bb329aa2412208bdd5cd343cce076d9e653723773fae4aeb2f,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,24,1056968607004541,1056968588029250,true,0,traversal-warmup,0.018975291,1507,"{""timescale"":24000,""value"":1738497}",true,"{""confidenceSHA256"":""788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49"",""hasMotion"":true,""reliableFractionBits"":0,""reset"":true,""vectorsSHA256"":""ca954688e08310567d16960ff74c9983fbd4bc77c918b924a37f77d810b0668c"",""warpedLumaErrorBits"":1049003833}",1496,2,16588800,true
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,true,true,26e222bb9f5e7471b646ea2c9aaa390c6d8295fff6a32776e1c662fe80b942af,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,25,1056968653564750,1056968623879625,true,0,traversal-warmup,0.029685125,1496,"{""timescale"":24000,""value"":1739498}",false,"{""confidenceSHA256"":""ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c"",""hasMotion"":true,""reliableFractionBits"":1057945836,""reset"":false,""vectorsSHA256"":""b5af93cbe1cc5d1d7f6ad42630abe65e9ea2748429906730d52b29109c701e87"",""warpedLumaErrorBits"":996707947}",1497,2,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",true,false,true,e7e2b99a952b73cd3f5f6d84afa8bc6182ca7e151166c9c5dfaa1fbfc557d4b8,natural,,false,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,26,1056968690909166,1056968670279750,true,0,traversal-warmup,0.020629416,1497,"{""timescale"":24000,""value"":1740499}",true,"{""confidenceSHA256"":""788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49"",""hasMotion"":true,""reliableFractionBits"":0,""reset"":true,""vectorsSHA256"":""1dd7f8a26e56dfba878da177773321a53dca3f2b9d00b46118d4425ec3093903"",""warpedLumaErrorBits"":1049357384}",1498,2,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,true,true,14bb670c4466232e6ab633a2a6fdefd4c99bace2d8b10f6043f30829c0354b17,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,27,1056968727484625,1056968707354416,true,0,measured,0.020130209,1498,"{""timescale"":24000,""value"":1741500}",false,"{""confidenceSHA256"":""e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7"",""hasMotion"":true,""reliableFractionBits"":1058754825,""reset"":false,""vectorsSHA256"":""ee54d44ebac3dca564784630aa7e04eb0e50afdb17521dfa1b05c85b78882a48"",""warpedLumaErrorBits"":994358578}",1499,2,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,d0803a559d88c0bd6b54e5cfded20c04d64f959e3c5009ee65a67a705aa33ce3,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,28,1056968763051958,1056968744238500,true,0,measured,0.018813458,1499,"{""timescale"":24000,""value"":1742501}",false,"{""confidenceSHA256"":""ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb"",""hasMotion"":true,""reliableFractionBits"":1058843080,""reset"":false,""vectorsSHA256"":""26438fbe98f93bb7ea392c433b2bfd232c214d8aa921dac0b16df381e5575aa2"",""warpedLumaErrorBits"":993628541}",1500,2,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,4945f8e1ed2a6ce70e38e9f25e6ee38a7d2a8b0e0901cab474531c8113227e4e,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,29,1056968801020250,1056968779829541,true,0,measured,0.021190709,1500,"{""timescale"":24000,""value"":1743502}",false,"{""confidenceSHA256"":""7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004"",""hasMotion"":true,""reliableFractionBits"":1059399821,""reset"":false,""vectorsSHA256"":""7978f43a3bced6a1c55c28e1bf996272c6bc5d5c543a9ffead43532ef8542ed8"",""warpedLumaErrorBits"":996278982}",1501,2,16588800,false
baseline,0,8294400,,"{""timescale"":24000,""value"":1001}",false,false,true,ad7ed19b2a9ce48b75220fac53032ab41cea9d4eddfe62f09bb1c86e063d6e46,natural,,true,"{""active"":323551232,""cache"":72680592,""peakActive"":396491024}",true,30,1056968841387125,1056968817733916,true,0,measured,0.023653209,1501,"{""timescale"":24000,""value"":1744503}",false,"{""confidenceSHA256"":""a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45"",""hasMotion"":true,""reliableFractionBits"":1057767602,""reset"":false,""vectorsSHA256"":""e33097e78f0358cea2f0b6c880c8d7430606842815c4dde063dad6f92247d23d"",""warpedLumaErrorBits"":998857116}",1502,2,16588800,false
