workload,completedWallSeconds,arm,armIndex,confidence,endUptimeNanoseconds,erosionCompletedWallSeconds,expectedByteEqual,expectedSHA256,historicalProductionExact,inputSHA256,maskIndex,maskName,maskProvenance,measured,mlxBytes,motionCompletedWallSeconds,orderIndex,outputBytes,outputNonfiniteScalars,outputSHA256,pairIndex,pass,phase,previousSourceFrameIndex,reliableFractionBits,reset,scalarValuesFinite,sourceFrameIndex,sourcePairIndex,startUptimeNanoseconds,vectors,warpedLumaErrorBits
isolated,0.00325425,baseline,0,,1055743039786000,0.00325425,true,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,,7389257eb62b35d1311f9027f2cc088363fdef9f52406398a05024e96ca7634f,0,natural-1497,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,0,8294400,0,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,0,0,first-isolated,,,,,1497,,1055743036531750,,
isolated,0.002791333,candidate,1,,1055743049956458,0.002791333,true,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,,7389257eb62b35d1311f9027f2cc088363fdef9f52406398a05024e96ca7634f,0,natural-1497,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,0,8294400,0,ff24d7286b3978166808fccb18ded53d06f8a0687fe03a9af73eba1e698dc25c,0,0,first-isolated,,,,,1497,,1055743047165125,,
isolated,0.001103625,candidate,0,,1055743067058250,0.001103625,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,1,natural-1498,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,1,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,1,0,first-isolated,,,,,1498,,1055743065954625,,
isolated,0.001127833,baseline,1,,1055743075462458,0.001127833,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,1,natural-1498,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,1,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,1,0,first-isolated,,,,,1498,,1055743074334625,,
isolated,0.003583958,baseline,0,,1055743095266541,0.003583958,true,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,,189292e00661ef089f37c248b608e927d6ac2828d78ec57b3b8a070aee243ef1,2,natural-1499,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,2,8294400,0,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,2,0,first-isolated,,,,,1499,,1055743091682583,,
isolated,0.002828208,candidate,1,,1055743105614583,0.002828208,true,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,,189292e00661ef089f37c248b608e927d6ac2828d78ec57b3b8a070aee243ef1,2,natural-1499,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,2,8294400,0,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,2,0,first-isolated,,,,,1499,,1055743102786375,,
isolated,0.001683084,candidate,0,,1055743124899125,0.001683084,true,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,,a1831330a8b322484403fd9244f7cff12dcec82bc068b0215790e84a55edb66c,3,natural-1500,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,3,8294400,0,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,3,0,first-isolated,,,,,1500,,1055743123216041,,
isolated,0.003511958,baseline,1,,1055743135859333,0.003511958,true,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,,a1831330a8b322484403fd9244f7cff12dcec82bc068b0215790e84a55edb66c,3,natural-1500,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,3,8294400,0,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,3,0,first-isolated,,,,,1500,,1055743132347375,,
isolated,0.00550425,baseline,0,,1055743159211083,0.00550425,true,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,,10a50f2709cccd846b33cda5498a15b41ad61332e2284bd7c8a188f4134d4c12,4,natural-1501,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,4,8294400,0,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,4,0,first-isolated,,,,,1501,,1055743153706833,,
isolated,0.003162667,candidate,1,,1055743170401750,0.003162667,true,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,,10a50f2709cccd846b33cda5498a15b41ad61332e2284bd7c8a188f4134d4c12,4,natural-1501,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,4,8294400,0,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,4,0,first-isolated,,,,,1501,,1055743167239083,,
isolated,0.002704042,candidate,0,,1055743189558000,0.002704042,true,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,,80fb7b59839bc3ef553ea700cca4948213992df8929b065322b349df5c2b9974,5,natural-1502,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,5,8294400,0,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,5,0,first-isolated,,,,,1502,,1055743186853958,,
isolated,0.003419333,baseline,1,,1055743200701541,0.003419333,true,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,,80fb7b59839bc3ef553ea700cca4948213992df8929b065322b349df5c2b9974,5,natural-1502,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,5,8294400,0,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,5,0,first-isolated,,,,,1502,,1055743197282208,,
isolated,0.006183833,baseline,0,,1055743223420083,0.006183833,true,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,,cb432adf0baf47a4e0ed095cc7d823427738c5aa006135d016d6ae9ddee87899,6,natural-1503,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,6,8294400,0,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,6,0,first-isolated,,,,,1503,,1055743217236250,,
isolated,0.002849583,candidate,1,,1055743233997458,0.002849583,true,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,,cb432adf0baf47a4e0ed095cc7d823427738c5aa006135d016d6ae9ddee87899,6,natural-1503,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,6,8294400,0,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,6,0,first-isolated,,,,,1503,,1055743231147875,,
isolated,0.000880459,candidate,0,,1055743251281125,0.000880459,true,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,,bc1efaeb0a94427015bf1b360a9ed5013c1959c7be0f97eacee15e97fa4d5345,7,natural-1504,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,7,8294400,0,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,7,0,first-isolated,,,,,1504,,1055743250400666,,
isolated,0.003233458,baseline,1,,1055743262376833,0.003233458,true,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,,bc1efaeb0a94427015bf1b360a9ed5013c1959c7be0f97eacee15e97fa4d5345,7,natural-1504,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,7,8294400,0,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,7,0,first-isolated,,,,,1504,,1055743259143375,,
isolated,0.003326834,baseline,0,,1055743282577500,0.003326834,true,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,,3cd48e5b732947674c4a6e32824115b3e41ae92049a89938af339726f6f4ede5,8,natural-1505,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,8,8294400,0,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,8,0,first-isolated,,,,,1505,,1055743279250666,,
isolated,0.002735209,candidate,1,,1055743293347000,0.002735209,true,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,,3cd48e5b732947674c4a6e32824115b3e41ae92049a89938af339726f6f4ede5,8,natural-1505,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,8,8294400,0,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,8,0,first-isolated,,,,,1505,,1055743290611791,,
isolated,0.00157625,candidate,0,,1055743311608375,0.00157625,true,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,,6c5f8a443a7b5b54701f1a7774dac18df1a092494a23d814bdd77e6c6bbe710b,9,natural-1506,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,9,8294400,0,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,9,0,first-isolated,,,,,1506,,1055743310032125,,
isolated,0.005172083,baseline,1,,1055743324864291,0.005172083,true,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,,6c5f8a443a7b5b54701f1a7774dac18df1a092494a23d814bdd77e6c6bbe710b,9,natural-1506,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,9,8294400,0,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,9,0,first-isolated,,,,,1506,,1055743319692208,,
isolated,0.006136417,baseline,0,,1055743347945500,0.006136417,true,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,,8c68fdeba1e149eae0336bbc5b4aecca6822250c7a21a8bcb8a057ee93d8da2f,10,natural-1507,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,10,8294400,0,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,10,0,first-isolated,,,,,1507,,1055743341809083,,
isolated,0.002786375,candidate,1,,1055743359355541,0.002786375,true,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,,8c68fdeba1e149eae0336bbc5b4aecca6822250c7a21a8bcb8a057ee93d8da2f,10,natural-1507,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,10,8294400,0,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,10,0,first-isolated,,,,,1507,,1055743356569166,,
isolated,0.0018375,candidate,0,,1055743379675083,0.0018375,true,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,11,all-positive,synthetic,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,11,8294400,0,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,11,0,first-isolated,,,,,null,,1055743377837583,,
isolated,0.007275459,baseline,1,,1055743395851125,0.007275459,true,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,11,all-positive,synthetic,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,11,8294400,0,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,11,0,first-isolated,,,,,null,,1055743388575666,,
isolated,0.005515666,baseline,0,,1055743418982791,0.005515666,true,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,,80a6d83d82542a5c2fca9e35e10a611b62695ff07a8d290907159ff9876b37e8,12,sparse-invalid,synthetic,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,12,8294400,0,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,12,0,first-isolated,,,,,null,,1055743413467125,,
isolated,0.003545125,candidate,1,,1055743430858125,0.003545125,true,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,,80a6d83d82542a5c2fca9e35e10a611b62695ff07a8d290907159ff9876b37e8,12,sparse-invalid,synthetic,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,12,8294400,0,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,12,0,first-isolated,,,,,null,,1055743427313000,,
isolated,0.00120275,candidate,0,,1055743449343666,0.00120275,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,863b06634ceb4d3448bd4b50416825b3de7c01f07ab7f5f7272101def693195b,13,dense-invalid,synthetic,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,13,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,13,0,first-isolated,,,,,null,,1055743448140916,,
isolated,0.001169417,baseline,1,,1055743458918333,0.001169417,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,863b06634ceb4d3448bd4b50416825b3de7c01f07ab7f5f7272101def693195b,13,dense-invalid,synthetic,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,13,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,13,0,first-isolated,,,,,null,,1055743457748916,,
isolated,0.002104209,baseline,0,,1055743478465375,0.002104209,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,863b06634ceb4d3448bd4b50416825b3de7c01f07ab7f5f7272101def693195b,13,dense-invalid,synthetic,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,0,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,14,1,warmup,,,,,null,,1055743476361166,,
isolated,0.000948917,candidate,1,,1055743487798750,0.000948917,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,863b06634ceb4d3448bd4b50416825b3de7c01f07ab7f5f7272101def693195b,13,dense-invalid,synthetic,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,0,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,14,1,warmup,,,,,null,,1055743486849833,,
isolated,0.00181425,candidate,0,,1055743508056625,0.00181425,true,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,,80a6d83d82542a5c2fca9e35e10a611b62695ff07a8d290907159ff9876b37e8,12,sparse-invalid,synthetic,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,1,8294400,0,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,15,1,warmup,,,,,null,,1055743506242375,,
isolated,0.004215458,baseline,1,,1055743520798166,0.004215458,true,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,,80a6d83d82542a5c2fca9e35e10a611b62695ff07a8d290907159ff9876b37e8,12,sparse-invalid,synthetic,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,1,8294400,0,2925f3cdc8173bf2ceb5c91d1bc8f9ad294f4b952c68c3bcada8b61c29b404ed,15,1,warmup,,,,,null,,1055743516582708,,
isolated,0.004176542,baseline,0,,1055743542596333,0.004176542,true,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,11,all-positive,synthetic,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,2,8294400,0,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,16,1,warmup,,,,,null,,1055743538419791,,
isolated,0.003218209,candidate,1,,1055743554342500,0.003218209,true,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,11,all-positive,synthetic,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,2,8294400,0,8a51d9d7f9968563b7dd371f289fda22b1230b08f8f427295bd9f3c4250275e5,16,1,warmup,,,,,null,,1055743551124291,,
isolated,0.002660792,candidate,0,,1055743575191208,0.002660792,true,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,,8c68fdeba1e149eae0336bbc5b4aecca6822250c7a21a8bcb8a057ee93d8da2f,10,natural-1507,natural,false,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,3,8294400,0,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,17,1,warmup,,,,,1507,,1055743572530416,,
isolated,0.003276375,baseline,1,,1055743587386083,0.003276375,true,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,,8c68fdeba1e149eae0336bbc5b4aecca6822250c7a21a8bcb8a057ee93d8da2f,10,natural-1507,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,3,8294400,0,4a85e0bcb8f464c66c75cb11c1eec19ea4773c4d0c27fb17ca25c0938dce94de,17,1,warmup,,,,,1507,,1055743584109708,,
isolated,0.00293325,baseline,0,,1055743609772708,0.00293325,true,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,,6c5f8a443a7b5b54701f1a7774dac18df1a092494a23d814bdd77e6c6bbe710b,9,natural-1506,natural,false,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,4,8294400,0,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,18,1,warmup,,,,,1506,,1055743606839458,,
